,code,date,ma5,ma10,ma20,ma30,ma60
0,000023.SZ,19990628,,,,,
1,000023.SZ,19990629,,,,,
2,000023.SZ,19990630,,,,,
3,000023.SZ,19990701,,,,,
4,000023.SZ,19990702,,,,,
5,000023.SZ,19990705,,,,,
6,000023.SZ,19990706,,,,,
7,000023.SZ,19990707,,,,,
8,000023.SZ,19990708,,,,,
9,000023.SZ,19990709,,,,,
10,000023.SZ,19990712,,,,,
11,000023.SZ,19990713,,,,,
12,000023.SZ,19990714,,,,,
13,000023.SZ,19990715,,,,,
14,000023.SZ,19990716,,,,,
15,000023.SZ,19990719,,,,,
16,000023.SZ,19990720,,,,,
17,000023.SZ,19990721,,,,,
18,000023.SZ,19990722,,,,,
19,000023.SZ,19990723,,,,,
20,000023.SZ,19990726,,,,,
21,000023.SZ,19990727,,,,,
22,000023.SZ,19990728,,,,,
23,000023.SZ,19990729,,,,,
24,000023.SZ,19990730,,,,,
25,000023.SZ,19990802,,,,,
26,000023.SZ,19990803,,,,,
27,000023.SZ,19990804,,,,,
28,000023.SZ,19990805,,,,,
29,000023.SZ,19990806,,,,,
30,000023.SZ,19990809,,,,,
31,000023.SZ,19990810,,,,,
32,000023.SZ,19990811,,,,,
33,000023.SZ,19990812,,,,,
34,000023.SZ,19990813,,,,,
35,000023.SZ,19990816,,,,,
36,000023.SZ,19990817,,,,,
37,000023.SZ,19990818,,,,,
38,000023.SZ,19990819,,,,,
39,000023.SZ,19990820,,,,,
40,000023.SZ,19990823,,,,,
41,000023.SZ,19990824,,,,,
42,000023.SZ,19990825,,,,,
43,000023.SZ,19990826,,,,,
44,000023.SZ,19990827,,,,,
45,000023.SZ,19990830,,,,,
46,000023.SZ,19990831,,,,,
47,000023.SZ,19990901,,,,,
48,000023.SZ,19990902,,,,,
49,000023.SZ,19990903,,,,,
50,000023.SZ,19990906,,,,,
51,000023.SZ,19990907,,,,,
52,000023.SZ,19990908,,,,,
53,000023.SZ,19990909,,,,,
54,000023.SZ,19990910,,,,,
55,000023.SZ,19990913,,,,,
56,000023.SZ,19990914,,,,,
57,000023.SZ,19990915,,,,,
58,000023.SZ,19990916,,,,,
59,000023.SZ,19990917,,,,,
60,000023.SZ,19990920,,,,,
61,000023.SZ,19990921,,,,,
62,000023.SZ,19990922,,,,,
63,000023.SZ,19990923,,,,,
64,000023.SZ,19990924,,,,,
65,000023.SZ,19990927,,,,,
66,000023.SZ,19990928,,,,,
67,000023.SZ,19990929,,,,,
68,000023.SZ,19990930,,,,,
69,000023.SZ,19991008,,,,,
70,000023.SZ,19991011,,,,,
71,000023.SZ,19991012,,,,,
72,000023.SZ,19991013,,,,,
73,000023.SZ,19991014,,,,,
74,000023.SZ,19991015,,,,,
75,000023.SZ,19991018,,,,,
76,000023.SZ,19991019,,,,,
77,000023.SZ,19991020,,,,,
78,000023.SZ,19991021,,,,,
79,000023.SZ,19991022,,,,,
80,000023.SZ,19991025,,,,,
81,000023.SZ,19991026,,,,,
82,000023.SZ,19991027,,,,,
83,000023.SZ,19991028,,,,,
84,000023.SZ,19991029,,,,,
85,000023.SZ,19991101,,,,,
86,000023.SZ,19991102,,,,,
87,000023.SZ,19991103,,,,,
88,000023.SZ,19991104,,,,,
89,000023.SZ,19991105,,,,,
90,000023.SZ,19991108,,,,,
91,000023.SZ,19991109,,,,,
92,000023.SZ,19991110,,,,,
93,000023.SZ,19991111,,,,,
94,000023.SZ,19991112,,,,,
95,000023.SZ,19991115,,,,,
96,000023.SZ,19991116,,,,,
97,000023.SZ,19991117,,,,,
98,000023.SZ,19991118,,,,,
99,000023.SZ,19991119,,,,,
100,000023.SZ,19991122,,,,,
101,000023.SZ,19991123,,,,,
102,000023.SZ,19991124,,,,,
103,000023.SZ,19991125,,,,,
104,000023.SZ,19991126,,,,,
105,000023.SZ,19991129,,,,,
106,000023.SZ,19991130,,,,,
107,000023.SZ,19991201,,,,,
108,000023.SZ,19991202,,,,,
109,000023.SZ,19991203,,,,,
110,000023.SZ,19991206,,,,,
111,000023.SZ,19991207,,,,,
112,000023.SZ,19991208,,,,,
113,000023.SZ,19991209,,,,,
114,000023.SZ,19991210,,,,,
115,000023.SZ,19991213,,,,,
