,code,date,ma5,ma10,ma20,ma30,ma60
0,000048.SZ,19991223,,,,,
1,000048.SZ,19991224,,,,,
2,000048.SZ,19991227,,,,,
3,000048.SZ,19991228,,,,,
4,000048.SZ,19991229,,,,,
5,000048.SZ,19991230,,,,,
6,000048.SZ,20000104,,,,,
7,000048.SZ,20000105,,,,,
8,000048.SZ,20000106,,,,,
9,000048.SZ,20000107,,,,,
10,000048.SZ,20000110,,,,,
11,000048.SZ,20000111,,,,,
12,000048.SZ,20000112,,,,,
13,000048.SZ,20000113,,,,,
14,000048.SZ,20000114,,,,,
15,000048.SZ,20000117,,,,,
16,000048.SZ,20000118,,,,,
17,000048.SZ,20000119,,,,,
18,000048.SZ,20000120,,,,,
19,000048.SZ,20000121,,,,,
20,000048.SZ,20000124,,,,,
21,000048.SZ,20000125,,,,,
22,000048.SZ,20000126,,,,,
23,000048.SZ,20000127,,,,,
24,000048.SZ,20000128,,,,,
25,000048.SZ,20000214,,,,,
26,000048.SZ,20000215,,,,,
27,000048.SZ,20000216,,,,,
28,000048.SZ,20000217,,,,,
29,000048.SZ,20000218,,,,,
30,000048.SZ,20000221,,,,,
31,000048.SZ,20000222,,,,,
32,000048.SZ,20000223,,,,,
33,000048.SZ,20000224,,,,,
34,000048.SZ,20000225,,,,,
35,000048.SZ,20000228,,,,,
36,000048.SZ,20000301,,,,,
37,000048.SZ,20000302,,,,,
38,000048.SZ,20000303,,,,,
39,000048.SZ,20000306,,,,,
40,000048.SZ,20000307,,,,,
41,000048.SZ,20000308,,,,,
42,000048.SZ,20000309,,,,,
43,000048.SZ,20000310,,,,,
44,000048.SZ,20000313,,,,,
45,000048.SZ,20000314,,,,,
46,000048.SZ,20000315,,,,,
47,000048.SZ,20000316,,,,,
48,000048.SZ,20000317,,,,,
49,000048.SZ,20000320,,,,,
50,000048.SZ,20000321,,,,,
51,000048.SZ,20000322,,,,,
52,000048.SZ,20000323,,,,,
53,000048.SZ,20000324,,,,,
54,000048.SZ,20000327,,,,,
55,000048.SZ,20000328,,,,,
56,000048.SZ,20000329,,,,,
57,000048.SZ,20000330,,,,,
58,000048.SZ,20000331,,,,,
59,000048.SZ,20000403,,,,,
60,000048.SZ,20000404,,,,,
61,000048.SZ,20000405,,,,,
62,000048.SZ,20000406,,,,,
63,000048.SZ,20000407,,,,,
64,000048.SZ,20000410,,,,,
65,000048.SZ,20000411,,,,,
66,000048.SZ,20000412,,,,,
67,000048.SZ,20000413,,,,,
68,000048.SZ,20000414,,,,,
69,000048.SZ,20000417,,,,,
70,000048.SZ,20000418,,,,,
71,000048.SZ,20000419,,,,,
72,000048.SZ,20000420,,,,,
73,000048.SZ,20000421,,,,,
74,000048.SZ,20000424,,,,,
75,000048.SZ,20000425,,,,,
76,000048.SZ,20000426,,,,,
77,000048.SZ,20000427,,,,,
78,000048.SZ,20000428,,,,,
79,000048.SZ,20000509,,,,,
80,000048.SZ,20000510,,,,,
81,000048.SZ,20000511,,,,,
82,000048.SZ,20000512,,,,,
83,000048.SZ,20000515,,,,,
84,000048.SZ,20000516,,,,,
85,000048.SZ,20000517,,,,,
86,000048.SZ,20000518,,,,,
87,000048.SZ,20000519,,,,,
88,000048.SZ,20000522,,,,,
89,000048.SZ,20000523,,,,,
90,000048.SZ,20000524,,,,,
91,000048.SZ,20000525,,,,,
92,000048.SZ,20000526,,,,,
93,000048.SZ,20000529,,,,,
94,000048.SZ,20000530,,,,,
95,000048.SZ,20000531,,,,,
96,000048.SZ,20000601,,,,,
97,000048.SZ,20000602,,,,,
98,000048.SZ,20000605,,,,,
99,000048.SZ,20000606,,,,,
100,000048.SZ,20000607,,,,,
101,000048.SZ,20000608,,,,,
102,000048.SZ,20000609,,,,,
103,000048.SZ,20000612,,,,,
104,000048.SZ,20000613,,,,,
105,000048.SZ,20000614,,,,,
106,000048.SZ,20000615,,,,,
107,000048.SZ,20000616,,,,,
108,000048.SZ,20000619,,,,,
109,000048.SZ,20000620,,,,,
110,000048.SZ,20000621,,,,,
111,000048.SZ,20000622,,,,,
112,000048.SZ,20000623,,,,,
113,000048.SZ,20000626,,,,,
114,000048.SZ,20000627,,,,,
115,000048.SZ,20000628,,,,,
116,000048.SZ,20000629,,,,,
117,000048.SZ,20000630,,,,,
118,000048.SZ,20000703,,,,,
119,000048.SZ,20000704,,,,,
120,000048.SZ,20000705,,,,,
121,000048.SZ,20000706,,,,,
122,000048.SZ,20000707,,,,,
123,000048.SZ,20000710,,,,,
124,000048.SZ,20000711,,,,,
125,000048.SZ,20000712,,,,,
126,000048.SZ,20000713,,,,,
127,000048.SZ,20000714,,,,,
128,000048.SZ,20000717,,,,,
129,000048.SZ,20000718,,,,,
130,000048.SZ,20000719,,,,,
131,000048.SZ,20000720,,,,,
132,000048.SZ,20000721,,,,,
133,000048.SZ,20000724,,,,,
134,000048.SZ,20000725,,,,,
135,000048.SZ,20000726,,,,,
136,000048.SZ,20000727,,,,,
137,000048.SZ,20000728,,,,,
138,000048.SZ,20000801,,,,,
139,000048.SZ,20000802,,,,,
140,000048.SZ,20000803,,,,,
141,000048.SZ,20000804,,,,,
142,000048.SZ,20000807,,,,,
143,000048.SZ,20000808,,,,,
144,000048.SZ,20000809,,,,,
145,000048.SZ,20000810,,,,,
146,000048.SZ,20000811,,,,,
147,000048.SZ,20000814,,,,,
148,000048.SZ,20000815,,,,,
149,000048.SZ,20000816,,,,,
150,000048.SZ,20000817,,,,,
151,000048.SZ,20000818,,,,,
152,000048.SZ,20000821,,,,,
153,000048.SZ,20000822,,,,,
154,000048.SZ,20000823,,,,,
155,000048.SZ,20000824,,,,,
156,000048.SZ,20000825,,,,,
157,000048.SZ,20000828,,,,,
158,000048.SZ,20000829,,,,,
159,000048.SZ,20000830,,,,,
160,000048.SZ,20000831,,,,,
161,000048.SZ,20000901,,,,,
162,000048.SZ,20000904,,,,,
163,000048.SZ,20000905,,,,,
164,000048.SZ,20000906,,,,,
165,000048.SZ,20000907,,,,,
166,000048.SZ,20000908,,,,,
167,000048.SZ,20000911,,,,,
168,000048.SZ,20000912,,,,,
169,000048.SZ,20000913,,,,,
170,000048.SZ,20000914,,,,,
171,000048.SZ,20000915,,,,,
172,000048.SZ,20000918,,,,,
173,000048.SZ,20000919,,,,,
174,000048.SZ,20000920,,,,,
175,000048.SZ,20000921,,,,,
176,000048.SZ,20000922,,,,,
177,000048.SZ,20000925,,,,,
178,000048.SZ,20000926,,,,,
179,000048.SZ,20000927,,,,,
180,000048.SZ,20000928,,,,,
181,000048.SZ,20000929,,,,,
182,000048.SZ,20001009,,,,,
183,000048.SZ,20001010,,,,,
184,000048.SZ,20001011,,,,,
185,000048.SZ,20001012,,,,,
186,000048.SZ,20001013,,,,,
187,000048.SZ,20001016,,,,,
188,000048.SZ,20001017,,,,,
189,000048.SZ,20001018,,,,,
190,000048.SZ,20001019,,,,,
191,000048.SZ,20001020,,,,,
192,000048.SZ,20001023,,,,,
193,000048.SZ,20001024,,,,,
194,000048.SZ,20001025,,,,,
195,000048.SZ,20001026,,,,,
196,000048.SZ,20001027,,,,,
197,000048.SZ,20001030,,,,,
198,000048.SZ,20001031,,,,,
199,000048.SZ,20001101,,,,,
200,000048.SZ,20001102,,,,,
201,000048.SZ,20001103,,,,,
202,000048.SZ,20001106,,,,,
203,000048.SZ,20001107,,,,,
204,000048.SZ,20001108,,,,,
205,000048.SZ,20001109,,,,,
206,000048.SZ,20001110,,,,,
207,000048.SZ,20001113,,,,,
208,000048.SZ,20001114,,,,,
209,000048.SZ,20001115,,,,,
210,000048.SZ,20001116,,,,,
211,000048.SZ,20001117,,,,,
212,000048.SZ,20001120,,,,,
213,000048.SZ,20001121,,,,,
214,000048.SZ,20001122,,,,,
215,000048.SZ,20001123,,,,,
216,000048.SZ,20001124,,,,,
217,000048.SZ,20001127,,,,,
218,000048.SZ,20001128,,,,,
219,000048.SZ,20001130,,,,,
220,000048.SZ,20001201,,,,,
221,000048.SZ,20001204,,,,,
222,000048.SZ,20001205,,,,,
223,000048.SZ,20001206,,,,,
224,000048.SZ,20001207,,,,,
225,000048.SZ,20001208,,,,,
226,000048.SZ,20001211,,,,,
227,000048.SZ,20001212,,,,,
228,000048.SZ,20001213,,,,,
229,000048.SZ,20001214,,,,,
230,000048.SZ,20001215,,,,,
231,000048.SZ,20001218,,,,,
232,000048.SZ,20001219,,,,,
233,000048.SZ,20001220,,,,,
234,000048.SZ,20001221,,,,,
235,000048.SZ,20001222,,,,,
236,000048.SZ,20001225,,,,,
237,000048.SZ,20001226,,,,,
238,000048.SZ,20001227,,,,,
239,000048.SZ,20001228,,,,,
240,000048.SZ,20001229,,,,,
241,000048.SZ,20010104,,,,,
242,000048.SZ,20010105,,,,,
243,000048.SZ,20010108,,,,,
244,000048.SZ,20010109,,,,,
245,000048.SZ,20010110,,,,,
246,000048.SZ,20010111,,,,,
247,000048.SZ,20010115,,,,,
248,000048.SZ,20010116,,,,,
249,000048.SZ,20010117,,,,,
250,000048.SZ,20010118,7.0480599999999995,,,,
251,000048.SZ,20010119,6.85656,,,,
252,000048.SZ,20010205,6.8193,,,,
253,000048.SZ,20010206,6.788239999999999,,,,
254,000048.SZ,20010207,6.84622,,,,
255,000048.SZ,20010208,6.86692,6.95749,,,
256,000048.SZ,20010209,6.88866,6.87261,,,
257,000048.SZ,20010212,6.88968,6.85449,,,
258,000048.SZ,20010213,6.92282,6.85553,,,
259,000048.SZ,20010214,6.884519999999999,6.86537,,,
260,000048.SZ,20010215,6.845199999999998,6.856060000000001,,,
261,000048.SZ,20010216,6.770659999999998,6.829660000000001,,,
262,000048.SZ,20010219,6.686819999999997,6.788250000000001,,,
263,000048.SZ,20010220,6.589519999999998,6.756170000000002,,,
264,000048.SZ,20010221,6.4621999999999975,6.673360000000001,,,
265,000048.SZ,20010222,6.391799999999998,6.6185,6.7879950000000004,,
266,000048.SZ,20010223,6.389739999999998,6.5802000000000005,6.7264050000000015,,
267,000048.SZ,20010226,6.4818599999999975,6.58434,6.719415000000001,,
