,speed5,speed10,speed20,speed30,speed60,code,date
0,,,,,,000040.SZ,20000111
1,,,,,,000040.SZ,20000112
2,,,,,,000040.SZ,20000113
3,,,,,,000040.SZ,20000114
4,,,,,,000040.SZ,20000117
5,,,,,,000040.SZ,20000118
6,,,,,,000040.SZ,20000119
7,,,,,,000040.SZ,20000120
8,,,,,,000040.SZ,20000121
9,,,,,,000040.SZ,20000124
10,,,,,,000040.SZ,20000125
11,,,,,,000040.SZ,20000126
12,,,,,,000040.SZ,20000127
13,,,,,,000040.SZ,20000128
14,,,,,,000040.SZ,20000214
15,,,,,,000040.SZ,20000215
16,,,,,,000040.SZ,20000216
17,,,,,,000040.SZ,20000217
18,,,,,,000040.SZ,20000218
19,,,,,,000040.SZ,20000221
20,,,,,,000040.SZ,20000222
21,,,,,,000040.SZ,20000223
22,,,,,,000040.SZ,20000224
23,,,,,,000040.SZ,20000225
24,,,,,,000040.SZ,20000228
25,,,,,,000040.SZ,20000229
26,,,,,,000040.SZ,20000301
27,,,,,,000040.SZ,20000302
28,,,,,,000040.SZ,20000303
29,,,,,,000040.SZ,20000306
30,,,,,,000040.SZ,20000307
31,,,,,,000040.SZ,20000308
32,,,,,,000040.SZ,20000309
33,,,,,,000040.SZ,20000310
34,,,,,,000040.SZ,20000313
35,,,,,,000040.SZ,20000314
36,,,,,,000040.SZ,20000315
37,,,,,,000040.SZ,20000316
38,,,,,,000040.SZ,20000317
39,,,,,,000040.SZ,20000320
40,,,,,,000040.SZ,20000321
41,,,,,,000040.SZ,20000322
42,,,,,,000040.SZ,20000323
43,,,,,,000040.SZ,20000324
44,,,,,,000040.SZ,20000327
45,,,,,,000040.SZ,20000328
46,,,,,,000040.SZ,20000329
47,,,,,,000040.SZ,20000330
48,,,,,,000040.SZ,20000331
49,,,,,,000040.SZ,20000403
50,,,,,,000040.SZ,20000404
51,,,,,,000040.SZ,20000405
52,,,,,,000040.SZ,20000406
53,,,,,,000040.SZ,20000407
54,,,,,,000040.SZ,20000410
55,,,,,,000040.SZ,20000411
56,,,,,,000040.SZ,20000412
57,,,,,,000040.SZ,20000413
58,,,,,,000040.SZ,20000414
59,,,,,,000040.SZ,20000417
60,,,,,,000040.SZ,20000418
61,,,,,,000040.SZ,20000419
62,,,,,,000040.SZ,20000420
63,,,,,,000040.SZ,20000421
64,,,,,,000040.SZ,20000424
65,,,,,,000040.SZ,20000425
66,,,,,,000040.SZ,20000426
67,,,,,,000040.SZ,20000427
68,,,,,,000040.SZ,20000428
69,,,,,,000040.SZ,20000508
70,,,,,,000040.SZ,20000509
71,,,,,,000040.SZ,20000510
72,,,,,,000040.SZ,20000511
73,,,,,,000040.SZ,20000512
74,,,,,,000040.SZ,20000515
75,,,,,,000040.SZ,20000516
76,,,,,,000040.SZ,20000517
77,,,,,,000040.SZ,20000518
78,,,,,,000040.SZ,20000519
79,,,,,,000040.SZ,20000522
80,,,,,,000040.SZ,20000523
81,,,,,,000040.SZ,20000524
82,,,,,,000040.SZ,20000525
83,,,,,,000040.SZ,20000526
84,,,,,,000040.SZ,20000529
85,,,,,,000040.SZ,20000530
86,,,,,,000040.SZ,20000531
87,,,,,,000040.SZ,20000601
88,,,,,,000040.SZ,20000602
