,speed5,speed10,speed20,speed30,speed60,code,date
0,,,,,,000001.SZ,20000522
1,,,,,,000001.SZ,20000523
2,,,,,,000001.SZ,20000524
3,,,,,,000001.SZ,20000525
4,,,,,,000001.SZ,20000526
5,,,,,,000001.SZ,20000529
6,,,,,,000001.SZ,20000530
7,,,,,,000001.SZ,20000531
8,,,,,,000001.SZ,20000601
9,,,,,,000001.SZ,20000602
10,,,,,,000001.SZ,20000605
11,,,,,,000001.SZ,20000606
12,,,,,,000001.SZ,20000607
13,,,,,,000001.SZ,20000608
14,,,,,,000001.SZ,20000609
15,,,,,,000001.SZ,20000612
16,,,,,,000001.SZ,20000613
17,,,,,,000001.SZ,20000614
18,,,,,,000001.SZ,20000615
19,,,,,,000001.SZ,20000616
20,,,,,,000001.SZ,20000619
21,,,,,,000001.SZ,20000620
22,,,,,,000001.SZ,20000621
23,,,,,,000001.SZ,20000623
24,,,,,,000001.SZ,20000626
25,,,,,,000001.SZ,20000627
26,,,,,,000001.SZ,20000628
27,,,,,,000001.SZ,20000629
28,,,,,,000001.SZ,20000630
29,,,,,,000001.SZ,20000703
30,,,,,,000001.SZ,20000704
31,,,,,,000001.SZ,20000705
32,,,,,,000001.SZ,20000706
33,,,,,,000001.SZ,20000707
34,,,,,,000001.SZ,20000710
35,,,,,,000001.SZ,20000711
36,,,,,,000001.SZ,20000712
37,,,,,,000001.SZ,20000713
38,,,,,,000001.SZ,20000714
39,,,,,,000001.SZ,20000717
40,,,,,,000001.SZ,20000718
41,,,,,,000001.SZ,20000719
42,,,,,,000001.SZ,20000720
43,,,,,,000001.SZ,20000721
44,,,,,,000001.SZ,20000724
45,,,,,,000001.SZ,20000725
46,,,,,,000001.SZ,20000726
47,,,,,,000001.SZ,20000727
48,,,,,,000001.SZ,20000728
49,,,,,,000001.SZ,20000731
50,,,,,,000001.SZ,20000801
51,,,,,,000001.SZ,20000802
52,,,,,,000001.SZ,20000803
53,,,,,,000001.SZ,20000804
54,,,,,,000001.SZ,20000807
55,,,,,,000001.SZ,20000808
56,,,,,,000001.SZ,20000809
57,,,,,,000001.SZ,20000810
58,,,,,,000001.SZ,20000811
59,,,,,,000001.SZ,20000814
60,,,,,,000001.SZ,20000815
61,,,,,,000001.SZ,20000816
62,,,,,,000001.SZ,20000817
63,,,,,,000001.SZ,20000818
64,,,,,,000001.SZ,20000821
65,,,,,,000001.SZ,20000822
66,,,,,,000001.SZ,20000823
67,,,,,,000001.SZ,20000824
68,,,,,,000001.SZ,20000825
69,,,,,,000001.SZ,20000828
70,,,,,,000001.SZ,20000829
71,,,,,,000001.SZ,20000830
72,,,,,,000001.SZ,20000831
73,,,,,,000001.SZ,20000901
74,,,,,,000001.SZ,20000904
75,,,,,,000001.SZ,20000905
76,,,,,,000001.SZ,20000906
77,,,,,,000001.SZ,20000907
78,,,,,,000001.SZ,20000908
79,,,,,,000001.SZ,20000911
80,,,,,,000001.SZ,20000912
81,,,,,,000001.SZ,20000913
82,,,,,,000001.SZ,20000914
83,,,,,,000001.SZ,20000915
84,,,,,,000001.SZ,20000918
85,,,,,,000001.SZ,20000919
86,,,,,,000001.SZ,20000920
87,,,,,,000001.SZ,20000921
88,,,,,,000001.SZ,20000922
89,,,,,,000001.SZ,20000925
90,,,,,,000001.SZ,20000926
91,,,,,,000001.SZ,20000927
92,,,,,,000001.SZ,20000928
93,,,,,,000001.SZ,20000929
94,,,,,,000001.SZ,20001009
95,,,,,,000001.SZ,20001010
96,,,,,,000001.SZ,20001011
97,,,,,,000001.SZ,20001012
98,,,,,,000001.SZ,20001013
99,,,,,,000001.SZ,20001016
100,,,,,,000001.SZ,20001017
101,,,,,,000001.SZ,20001018
102,,,,,,000001.SZ,20001019
103,,,,,,000001.SZ,20001020
104,,,,,,000001.SZ,20001023
105,,,,,,000001.SZ,20001024
106,,,,,,000001.SZ,20001025
107,,,,,,000001.SZ,20001026
108,,,,,,000001.SZ,20001027
109,,,,,,000001.SZ,20001030
110,,,,,,000001.SZ,20001031
111,,,,,,000001.SZ,20001101
112,,,,,,000001.SZ,20001102
113,,,,,,000001.SZ,20001103
114,,,,,,000001.SZ,20001106
115,,,,,,000001.SZ,20001107
116,,,,,,000001.SZ,20001108
117,,,,,,000001.SZ,20001109
118,,,,,,000001.SZ,20001110
119,,,,,,000001.SZ,20001113
120,,,,,,000001.SZ,20001114
121,,,,,,000001.SZ,20001115
122,,,,,,000001.SZ,20001116
123,,,,,,000001.SZ,20001117
124,,,,,,000001.SZ,20001120
125,,,,,,000001.SZ,20001121
126,,,,,,000001.SZ,20001122
127,,,,,,000001.SZ,20001123
128,,,,,,000001.SZ,20001124
129,,,,,,000001.SZ,20001127
130,,,,,,000001.SZ,20001128
131,,,,,,000001.SZ,20001129
132,,,,,,000001.SZ,20001130
133,,,,,,000001.SZ,20001201
134,,,,,,000001.SZ,20001204
135,,,,,,000001.SZ,20001205
136,,,,,,000001.SZ,20001206
137,,,,,,000001.SZ,20001207
138,,,,,,000001.SZ,20001208
139,,,,,,000001.SZ,20001211
140,,,,,,000001.SZ,20001212
141,,,,,,000001.SZ,20001213
142,,,,,,000001.SZ,20001214
143,,,,,,000001.SZ,20001215
144,,,,,,000001.SZ,20001218
145,,,,,,000001.SZ,20001219
146,,,,,,000001.SZ,20001220
147,,,,,,000001.SZ,20001221
148,,,,,,000001.SZ,20001222
149,,,,,,000001.SZ,20001225
150,,,,,,000001.SZ,20001226
151,,,,,,000001.SZ,20001227
152,,,,,,000001.SZ,20001228
153,,,,,,000001.SZ,20001229
154,,,,,,000001.SZ,20010102
155,,,,,,000001.SZ,20010103
156,,,,,,000001.SZ,20010104
157,,,,,,000001.SZ,20010105
158,,,,,,000001.SZ,20010108
159,,,,,,000001.SZ,20010109
160,,,,,,000001.SZ,20010110
161,,,,,,000001.SZ,20010111
162,,,,,,000001.SZ,20010112
163,,,,,,000001.SZ,20010115
164,,,,,,000001.SZ,20010116
165,,,,,,000001.SZ,20010117
166,1.0074246660453559,,,,,000001.SZ,20010118
167,1.0121697556735276,,,,,000001.SZ,20010119
168,1.0281699261753658,,,,,000001.SZ,20010205
169,1.0138029509757258,,,,,000001.SZ,20010206
170,0.9904851330203444,,,,,000001.SZ,20010207
171,0.9483178636405686,0.9553588070829451,,,,000001.SZ,20010208
172,0.9606171211238229,0.9723075967837075,,,,000001.SZ,20010209
173,0.9863009384644454,1.014084963087683,,,,000001.SZ,20010212
174,0.9741158059467918,0.9875614786609551,,,,000001.SZ,20010213
175,0.9772799089932376,0.967981220657277,,,,000001.SZ,20010214
176,1.0014307547231165,0.949674673902988,,,,000001.SZ,20010215
177,0.986110667645838,0.9472747906634359,,,,000001.SZ,20010216
178,1.0069606309269135,0.9931662152799648,,,,000001.SZ,20010219
179,0.9979115123863381,0.9720813771517997,,,,000001.SZ,20010220
