,speed5,speed10,speed20,speed30,speed60,code,date
0,,,,,,000002.SZ,20000302
1,,,,,,000002.SZ,20000303
2,,,,,,000002.SZ,20000306
3,,,,,,000002.SZ,20000307
4,,,,,,000002.SZ,20000308
5,,,,,,000002.SZ,20000309
6,,,,,,000002.SZ,20000310
7,,,,,,000002.SZ,20000313
8,,,,,,000002.SZ,20000314
9,,,,,,000002.SZ,20000315
10,,,,,,000002.SZ,20000316
11,,,,,,000002.SZ,20000317
12,,,,,,000002.SZ,20000320
13,,,,,,000002.SZ,20000321
14,,,,,,000002.SZ,20000322
15,,,,,,000002.SZ,20000323
16,,,,,,000002.SZ,20000324
17,,,,,,000002.SZ,20000327
18,,,,,,000002.SZ,20000328
19,,,,,,000002.SZ,20000329
20,,,,,,000002.SZ,20000330
21,,,,,,000002.SZ,20000331
22,,,,,,000002.SZ,20000403
23,,,,,,000002.SZ,20000404
24,,,,,,000002.SZ,20000405
25,,,,,,000002.SZ,20000406
26,,,,,,000002.SZ,20000407
27,,,,,,000002.SZ,20000410
28,,,,,,000002.SZ,20000411
29,,,,,,000002.SZ,20000412
30,,,,,,000002.SZ,20000413
31,,,,,,000002.SZ,20000414
32,,,,,,000002.SZ,20000417
33,,,,,,000002.SZ,20000418
34,,,,,,000002.SZ,20000419
35,,,,,,000002.SZ,20000420
36,,,,,,000002.SZ,20000421
37,,,,,,000002.SZ,20000424
38,,,,,,000002.SZ,20000425
39,,,,,,000002.SZ,20000426
40,,,,,,000002.SZ,20000427
41,,,,,,000002.SZ,20000428
42,,,,,,000002.SZ,20000508
43,,,,,,000002.SZ,20000509
44,,,,,,000002.SZ,20000510
45,,,,,,000002.SZ,20000511
46,,,,,,000002.SZ,20000512
47,,,,,,000002.SZ,20000515
48,,,,,,000002.SZ,20000516
49,,,,,,000002.SZ,20000517
50,,,,,,000002.SZ,20000518
51,,,,,,000002.SZ,20000519
52,,,,,,000002.SZ,20000522
53,,,,,,000002.SZ,20000523
54,,,,,,000002.SZ,20000524
55,,,,,,000002.SZ,20000525
56,,,,,,000002.SZ,20000526
57,,,,,,000002.SZ,20000529
58,,,,,,000002.SZ,20000530
59,,,,,,000002.SZ,20000531
60,,,,,,000002.SZ,20000601
61,,,,,,000002.SZ,20000602
62,,,,,,000002.SZ,20000605
63,,,,,,000002.SZ,20000606
64,,,,,,000002.SZ,20000607
65,,,,,,000002.SZ,20000608
66,,,,,,000002.SZ,20000609
67,,,,,,000002.SZ,20000612
68,,,,,,000002.SZ,20000613
69,,,,,,000002.SZ,20000614
70,,,,,,000002.SZ,20000615
71,,,,,,000002.SZ,20000616
72,,,,,,000002.SZ,20000619
73,,,,,,000002.SZ,20000620
74,,,,,,000002.SZ,20000621
75,,,,,,000002.SZ,20000622
76,,,,,,000002.SZ,20000623
77,,,,,,000002.SZ,20000626
78,,,,,,000002.SZ,20000627
79,,,,,,000002.SZ,20000628
80,,,,,,000002.SZ,20000630
81,,,,,,000002.SZ,20000703
82,,,,,,000002.SZ,20000704
83,,,,,,000002.SZ,20000705
84,,,,,,000002.SZ,20000706
85,,,,,,000002.SZ,20000707
86,,,,,,000002.SZ,20000710
87,,,,,,000002.SZ,20000711
88,,,,,,000002.SZ,20000712
89,,,,,,000002.SZ,20000713
90,,,,,,000002.SZ,20000714
91,,,,,,000002.SZ,20000717
92,,,,,,000002.SZ,20000718
93,,,,,,000002.SZ,20000719
94,,,,,,000002.SZ,20000720
95,,,,,,000002.SZ,20000721
96,,,,,,000002.SZ,20000724
97,,,,,,000002.SZ,20000725
98,,,,,,000002.SZ,20000726
99,,,,,,000002.SZ,20000727
100,,,,,,000002.SZ,20000728
101,,,,,,000002.SZ,20000731
102,,,,,,000002.SZ,20000801
103,,,,,,000002.SZ,20000802
104,,,,,,000002.SZ,20000803
105,,,,,,000002.SZ,20000804
106,,,,,,000002.SZ,20000807
107,,,,,,000002.SZ,20000808
108,,,,,,000002.SZ,20000809
109,,,,,,000002.SZ,20000810
110,,,,,,000002.SZ,20000811
111,,,,,,000002.SZ,20000814
112,,,,,,000002.SZ,20000815
113,,,,,,000002.SZ,20000816
114,,,,,,000002.SZ,20000817
115,,,,,,000002.SZ,20000818
116,,,,,,000002.SZ,20000821
117,,,,,,000002.SZ,20000822
118,,,,,,000002.SZ,20000823
119,,,,,,000002.SZ,20000824
120,,,,,,000002.SZ,20000825
121,,,,,,000002.SZ,20000828
122,,,,,,000002.SZ,20000829
123,,,,,,000002.SZ,20000830
124,,,,,,000002.SZ,20000831
125,,,,,,000002.SZ,20000901
126,,,,,,000002.SZ,20000904
127,,,,,,000002.SZ,20000905
128,,,,,,000002.SZ,20000906
129,,,,,,000002.SZ,20000907
130,,,,,,000002.SZ,20000908
131,,,,,,000002.SZ,20000911
132,,,,,,000002.SZ,20000912
133,,,,,,000002.SZ,20000913
134,,,,,,000002.SZ,20000914
135,,,,,,000002.SZ,20000918
136,,,,,,000002.SZ,20000919
137,,,,,,000002.SZ,20000920
138,,,,,,000002.SZ,20000921
139,,,,,,000002.SZ,20000922
140,,,,,,000002.SZ,20000925
141,,,,,,000002.SZ,20000926
142,,,,,,000002.SZ,20000927
143,,,,,,000002.SZ,20000928
144,,,,,,000002.SZ,20000929
145,,,,,,000002.SZ,20001009
146,,,,,,000002.SZ,20001010
147,,,,,,000002.SZ,20001011
148,,,,,,000002.SZ,20001012
149,,,,,,000002.SZ,20001013
150,,,,,,000002.SZ,20001016
151,,,,,,000002.SZ,20001017
152,,,,,,000002.SZ,20001018
153,,,,,,000002.SZ,20001019
154,,,,,,000002.SZ,20001020
155,,,,,,000002.SZ,20001023
156,,,,,,000002.SZ,20001024
157,,,,,,000002.SZ,20001025
158,,,,,,000002.SZ,20001026
159,,,,,,000002.SZ,20001027
160,,,,,,000002.SZ,20001030
161,,,,,,000002.SZ,20001031
162,,,,,,000002.SZ,20001101
163,,,,,,000002.SZ,20001102
164,,,,,,000002.SZ,20001103
165,,,,,,000002.SZ,20001106
166,,,,,,000002.SZ,20001107
167,,,,,,000002.SZ,20001108
168,,,,,,000002.SZ,20001109
169,,,,,,000002.SZ,20001110
170,,,,,,000002.SZ,20001113
171,,,,,,000002.SZ,20001114
172,,,,,,000002.SZ,20001115
173,,,,,,000002.SZ,20001116
174,,,,,,000002.SZ,20001117
175,,,,,,000002.SZ,20001120
176,,,,,,000002.SZ,20001121
177,,,,,,000002.SZ,20001122
178,,,,,,000002.SZ,20001123
179,,,,,,000002.SZ,20001124
180,,,,,,000002.SZ,20001127
181,,,,,,000002.SZ,20001128
182,,,,,,000002.SZ,20001129
183,,,,,,000002.SZ,20001130
184,,,,,,000002.SZ,20001201
185,,,,,,000002.SZ,20001204
186,,,,,,000002.SZ,20001205
187,,,,,,000002.SZ,20001206
188,,,,,,000002.SZ,20001207
189,,,,,,000002.SZ,20001208
190,,,,,,000002.SZ,20001211
191,,,,,,000002.SZ,20001212
192,,,,,,000002.SZ,20001213
193,,,,,,000002.SZ,20001214
194,,,,,,000002.SZ,20001215
195,,,,,,000002.SZ,20001218
196,,,,,,000002.SZ,20001219
197,,,,,,000002.SZ,20001220
198,,,,,,000002.SZ,20001221
199,,,,,,000002.SZ,20001222
200,,,,,,000002.SZ,20001225
201,,,,,,000002.SZ,20001226
202,,,,,,000002.SZ,20001227
203,,,,,,000002.SZ,20001228
204,,,,,,000002.SZ,20001229
205,,,,,,000002.SZ,20010102
206,,,,,,000002.SZ,20010103
207,,,,,,000002.SZ,20010104
208,,,,,,000002.SZ,20010105
209,,,,,,000002.SZ,20010108
210,,,,,,000002.SZ,20010109
211,,,,,,000002.SZ,20010110
212,,,,,,000002.SZ,20010111
213,,,,,,000002.SZ,20010112
214,,,,,,000002.SZ,20010115
215,,,,,,000002.SZ,20010116
216,,,,,,000002.SZ,20010117
217,0.9421256454388985,,,,,000002.SZ,20010118
218,0.9588907014681893,,,,,000002.SZ,20010119
219,0.9641425134608775,,,,,000002.SZ,20010205
220,0.9559769725702675,,,,,000002.SZ,20010206
221,0.9481894784787065,,,,,000002.SZ,20010207
222,0.9224708837634162,0.8690834767641996,,,,000002.SZ,20010208
223,0.9324033117840536,0.8940728656878739,,,,000002.SZ,20010209
224,0.9859790874524714,0.9506243555962882,,,,000002.SZ,20010212
225,0.9769748494509387,0.9339654588554013,,,,000002.SZ,20010213
226,1.00636483727633,0.9542245502163517,,,,000002.SZ,20010214
227,1.0430746379502414,0.9622059831011647,,,,000002.SZ,20010215
228,1.042330616713295,0.9718725189973914,,,,000002.SZ,20010216
229,1.0526632923596049,1.0379039923954374,,,,000002.SZ,20010219
230,1.0277979211989365,1.0041327193293188,,,,000002.SZ,20010220
231,0.9443914081145585,0.9504023057523718,,,,000002.SZ,20010221
232,0.9565681737273052,0.9977720014853324,0.8671471600688468,,,000002.SZ,20010222
233,0.9525032092426188,0.9928232575112517,0.8876563349646548,,,000002.SZ,20010223
234,0.9283342873497423,0.9772234273318872,0.9289723908809714,,,000002.SZ,20010226
235,0.9708372530573847,0.9978245105148659,0.9319336268201829,,,000002.SZ,20010227
236,1.0275461207985848,0.9704057279236278,0.9259849692552949,,,000002.SZ,20010228
237,1.0052102716784517,0.9615521537913848,0.9252112354418817,,,000002.SZ,20010301
238,1.0281793678020092,0.9793441475084607,0.9517976636044004,,,000002.SZ,20010302
239,1.0254038722407202,0.9519175729822552,0.9879990494296578,,,000002.SZ,20010305
240,1.002906976744186,0.9736594543744119,0.977683315621679,,,000002.SZ,20010306
241,1.0196753566158387,1.0477634571645187,0.9957968055722349,,,000002.SZ,20010307
242,1.0364062692829816,1.0418062275151965,1.0394850847877213,0.9033993115318416,,000002.SZ,20010308
243,1.0035748331744518,1.0318549375153148,1.0244495803430238,0.9159325720500271,,000002.SZ,20010309
